Fisier,Caracteristica,Cod,Axa,NOMINAL,+TOL,-TOL,MEAS,DEV,OUTTOL
SER_235338AAA597640.PDF,PAGINA 2,LOC4Z,R,91.500,0.300,0.300,91.471,-0.029,0.000
SER_235338AAA597640.PDF,PAGINA 2,LOC25,R,5.000,0.100,0.100,5.014,0.014,0.000
SER_235338AAA597640.PDF,PAGINA 2,LOC26,R,5.000,0.100,0.100,5.019,0.019,0.000
SER_235338AAA597640.PDF,PAGINA 2,DIST8,M,6.720,0.100,0.100,6.755,0.035,0.000
SER_235338AAA597640.PDF,PAGINA 2,DIST1O,M,6.720,0.100,0.100,6.754,0.034,0.000
SER_235338AAA597640.PDF,PAGINA 2,nimicA,M,0.000,0.050,0.000,0.003,0.003,0.000
SER_235338AAA597640.PDF,POSITION MM,FCFLOC2,A,0.000,0.050,0.004,0.004,90.000,0
SER_235338AAA597640.PDF,PAGINA 3,DISTS,M,9.050,0.050,0.050,9.035,-0.015,0.000
SER_235338AAA597640.PDF,PAGINA 3,DIST7,M,9.050,0.050,0.050,9.040,-0.010,0.000
SER_235338AAA597640.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.013,0.013,0.000
SER_235338AAA597640.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.006,0.006,0.000
SER_235338AAA597640.PDF,PAGINA 3,FORMANDLOCATION,M,0.000,0.200,0.200,0.007,0.007,0.000
SER_235338AAA597640.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.200,0.200,0.008,0.008,0.000
SER_235338AAA597640.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.027,0.027,0.000
SER_235338AAA597640.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.035,0.035,0.000
SER_235338AAA597640.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.034,0.034,0.000
SER_235338AAA597640.PDF,PAGINA 4,FORMANDLOCATION,M,0.000,0.100,0.100,0.034,0.034,0.000
SER_235338AAA597640.PDF,PAGINA 5,LOC28,Z,-9.050,0.050,0.050,-9.060,-0.010,0.000
SER_235338AAA597640.PDF,PAGINA 5,LOC22,R,0.500,0.100,0.100,0.519,0.019,0.000
SER_235338AAA597640.PDF,PAGINA 5,DIST11,M,81.400,0.050,0.050,81.374,-0.026,0.000
SER_235338AAA597640.PDF,PAGINA 6,DIST12,M,115.550,0.300,0.300,115.544,-0.006,0.000
SER_235338AAA597640.PDF,PAGINA 6,LOC23,R,0.500,0.100,0.100,0.502,0.002,0.000
SER_235338AAA597640.PDF,PAGINA 6,DIST9,M,4.800,0.300,0.300,4.918,0.118,0.000
